index,x,y,z,B_x,B_y,B_z
70,-21.799999999999997,-47.25,-154.28000000000003,-0.593366,-0.36155,-1.810898
71,-21.799999999999997,-47.25,-134.28,-0.574216,-0.381274,-1.880164
73,-21.799999999999997,32.75,-194.28,-0.910472,-0.26345599999999997,-1.814466
74,-21.799999999999997,32.75,-154.28000000000003,-0.807712,-0.312838,-1.902062
75,-21.799999999999997,32.75,-134.28,-0.755278,-0.32654,-1.9414939999999998
77,-21.799999999999997,72.75,-194.28,-1.12435,-0.346972,-1.865062
78,-21.799999999999997,72.75,-154.28000000000003,-0.946448,-0.357456,-1.91993
79,-21.799999999999997,72.75,-134.28,-0.872022,-0.355794,-1.947112
81,18.2,72.75,-194.28,-0.88905,-0.571712,-1.722384
82,18.2,72.75,-154.28000000000003,-0.80974,-0.5090560000000001,-1.7997459999999998
83,18.2,72.75,-134.28,-0.761526,-0.48623999999999995,-1.830978
85,18.2,32.75,-194.28,-0.727472,-0.447196,-1.75827
86,18.2,32.75,-154.28000000000003,-0.693064,-0.446858,-1.8251119999999998
87,18.2,32.75,-134.28,-0.6609,-0.44418199999999997,-1.856054
89,18.2,-7.25,-194.28,-0.6051979999999999,-0.37853200000000004,-1.7137959999999999
90,18.2,-7.25,-154.28000000000003,-0.59814,-0.41780200000000006,-1.8160319999999999
91,18.2,-7.25,-134.28,-0.585304,-0.419008,-1.856904
93,18.2,-47.25,-194.28,-0.48004600000000003,-0.41860200000000003,-1.649286
94,18.2,-47.25,-154.28000000000003,-0.50566,-0.44946400000000003,-1.7959439999999998
95,18.2,-47.25,-134.28,-0.499468,-0.443216,-1.8567939999999998
97,18.2,-87.25,-194.28,-0.33665,-0.480468,-1.6212600000000001
98,18.2,-87.25,-154.28000000000003,-0.39635,-0.48836599999999997,-1.7967919999999997
99,18.2,-87.25,-134.28,-0.451528,-0.467168,-1.86065
101,18.2,-127.25,-194.28,-0.203844,-0.572062,-1.622342
102,18.2,-127.25,-154.28000000000003,-0.308904,-0.551504,-1.807798
103,18.2,-127.25,-134.28,-0.3877,-0.516948,-1.878278
105,18.2,-167.25,-194.28,-0.024194999999999998,-0.673988,-1.648282
106,18.2,-167.25,-154.28000000000003,-0.243344,-0.609456,-1.844512
107,18.2,-167.25,-134.28,-0.268162,-0.5976279999999999,-1.9159979999999999
109,18.2,-207.25,-194.28,0.1483554,-0.7169300000000001,-1.7037759999999997
110,18.2,-207.25,-154.28000000000003,-0.0954742,-0.663406,-1.8976540000000002
111,18.2,-207.25,-134.28,-0.16512739999999998,-0.641386,-1.980178
113,18.2,-247.25,-194.28,0.315784,-0.7440640000000001,-1.761164
114,18.2,-247.25,-154.28000000000003,-0.0267186,-0.688602,-1.9345900000000003
115,18.2,-247.25,-134.28,-0.1441424,-0.6709,-2.0072400000000004
117,18.2,-287.25,-194.28,0.409596,-0.664114,-1.865792
118,18.2,-287.25,-154.28000000000003,0.014626400000000001,-0.650058,-1.960968
119,18.2,-287.25,-134.28,-0.210952,-0.623784,-2.02984
121,18.2,-327.25,-194.28,0.666714,-0.508162,-1.9226
122,18.2,-327.25,-154.28000000000003,0.07056219999999999,-0.5286,-1.9575
123,18.2,-327.25,-134.28,-0.16417,-0.5654060000000001,-2.01172
125,58.2,-327.25,-194.28,0.786454,-0.653402,-2.62232
126,58.2,-327.25,-154.28000000000003,0.1429618,-0.510262,-2.47518
127,58.2,-327.25,-134.28,-0.004221,-0.50641,-2.4331400000000003
129,58.2,-287.25,-194.28,0.6252840000000001,-0.841046,-2.41882
130,58.2,-287.25,-154.28000000000003,0.1541328,-0.685912,-2.3629599999999997
131,58.2,-287.25,-134.28,-0.0144076,-0.6319359999999999,-2.35308
133,58.2,-247.25,-194.28,0.45758000000000004,-0.8934719999999999,-2.22624
134,58.2,-247.25,-154.28000000000003,0.08745660000000001,-0.728934,-2.2433
135,58.2,-247.25,-134.28,-0.0409944,-0.673006,-2.2518
137,58.2,-207.25,-194.28,0.253386,-0.8833139999999999,-2.03962
138,58.2,-207.25,-154.28000000000003,-0.019858,-0.736726,-2.1058
139,58.2,-207.25,-134.28,-0.1066932,-0.678704,-2.1324799999999997
141,58.2,-167.25,-194.28,0.054051199999999994,-0.83454,-1.886102
142,58.2,-167.25,-154.28000000000003,-0.1290828,-0.71729,-1.984686
143,58.2,-167.25,-134.28,-0.18675,-0.666284,-2.02408
145,58.2,-127.25,-194.28,-0.1268218,-0.706512,-1.7869979999999999
146,58.2,-127.25,-154.28000000000003,-0.24133400000000002,-0.628846,-1.898452
147,58.2,-127.25,-134.28,-0.27107800000000004,-0.592558,-1.942998
149,58.2,-87.25,-194.28,-0.281828,-0.603296,-1.7273580000000002
150,58.2,-87.25,-154.28000000000003,-0.350446,-0.573762,-1.8357580000000002
151,58.2,-87.25,-134.28,-0.362012,-0.55099,-1.8797380000000001
153,58.2,-47.25,-194.28,-0.397878,-0.5191,-1.730592
154,58.2,-47.25,-154.28000000000003,-0.43656000000000006,-0.527208,-1.8099599999999998
155,58.2,-47.25,-134.28,-0.43191199999999996,-0.520666,-1.8441319999999999
157,58.2,-7.25,-194.28,-0.5159779999999999,-0.46608999999999995,-1.7791099999999997
158,58.2,-7.25,-154.28000000000003,-0.5313100000000001,-0.4836,-1.8075599999999998
159,58.2,-7.25,-134.28,-0.5161479999999999,-0.47621199999999997,-1.829464
161,58.2,32.75,-194.28,-0.5924659999999999,-0.544092,-1.806082
162,58.2,32.75,-154.28000000000003,-0.59564,-0.523674,-1.7941580000000001
163,58.2,32.75,-134.28,-0.5749,-0.5064960000000001,-1.805072
165,58.2,72.75,-194.28,-0.6653140000000001,-0.694364,-1.746618
166,58.2,72.75,-154.28000000000003,-0.66373,-0.6037359999999999,-1.74262
167,58.2,72.75,-134.28,-0.6339560000000001,-0.5686859999999999,-1.755322
169,98.2,72.75,-194.28,-0.64494,-0.736958,-1.79898
170,98.2,72.75,-154.28000000000003,-0.597722,-0.6482760000000001,-1.6914779999999998
171,98.2,72.75,-134.28,-0.5563140000000001,-0.6132380000000001,-1.6846419999999998
173,98.2,32.75,-194.28,-0.618506,-0.6239939999999999,-1.83572
174,98.2,32.75,-154.28000000000003,-0.574408,-0.5979399999999999,-1.7422080000000002
175,98.2,32.75,-134.28,-0.536774,-0.5727479999999999,-1.7373
177,98.2,-47.25,-194.28,-0.44250600000000007,-0.627474,-1.7850099999999998
178,98.2,-47.25,-154.28000000000003,-0.438382,-0.609064,-1.8032540000000001
179,98.2,-47.25,-134.28,-0.42003999999999997,-0.5887220000000001,-1.81923
181,98.2,-87.25,-194.28,-0.294052,-0.7459859999999999,-1.823868
182,98.2,-87.25,-154.28000000000003,-0.33452600000000005,-0.669478,-1.868336
183,98.2,-87.25,-134.28,-0.332122,-0.633228,-1.8882720000000002
185,98.2,-127.25,-194.28,-0.1499864,-0.8865700000000001,-1.9327580000000002
186,98.2,-127.25,-154.28000000000003,-0.23771799999999998,-0.748496,-1.9703259999999998
187,98.2,-127.25,-134.28,-0.26105,-0.682288,-1.987526
189,98.2,-167.25,-194.28,-0.0441146,-0.97446,-2.13732
