cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
0,1565398838.0412269,1565398842.0418859,72.05,-146.13,-72.75,1.576338,0.000714472,2.2586,0.000620484,-0.1663934,0.000906735
1,1565398845.928519,1565398849.9308207,72.05,-106.13000000000001,-72.75,1.211856,0.001160121,2.1206,0.001319091,0.0725052,0.0022901270000000003
2,1565398856.7453084,1565398860.7468724,72.05,-66.13000000000001,-72.75,1.012368,0.000603092,2.07764,0.000427785,0.164433,0.001026552
3,1565398867.4456668,1565398871.446711,72.05,-46.129999999999995,-72.75,0.937464,0.002944644,2.08968,0.000672309,0.1727124,0.002426048
4,1565398901.1485295,1565398905.1493587,72.05,-146.13,-32.75,1.169448,0.00016115200000000002,1.90892,8.366600000000001e-05,-0.158974,0.000166772
5,1565398910.0121899,1565398914.0114274,72.05,-106.13000000000001,-32.75,0.972452,0.000919005,1.95946,0.00049295,0.0752602,0.000383182
6,1565398922.971232,1565398926.9705873,72.05,-66.13000000000001,-32.75,0.845478,0.000782924,2.01362,0.000204939,0.1905584,0.00098269
7,1565398931.8908963,1565398935.8904154,72.05,-46.129999999999995,-32.75,0.786636,0.002075965,2.04788,0.000701427,0.221644,0.000159154
8,1565398976.7851098,1565398980.7861366,72.05,-146.13,7.25,0.977908,0.000296766,1.680588,3.5637e-05,-0.012762,0.00024229
9,1565398983.976969,1565398987.9765062,72.05,-106.13000000000001,7.25,0.830692,0.000546964,1.808898,0.000193959,0.1292188,0.00031326
10,1565398992.8408248,1565398996.841074,72.05,-66.13000000000001,7.25,0.7478,0.000840684,1.932124,0.000110136,0.228646,0.00038920400000000004
11,1565399001.824574,1565399005.8243206,72.05,-46.129999999999995,7.25,0.74807,0.006376931,1.97545,0.002785058,0.235512,0.014140391
12,1565399048.5749018,1565399052.5747213,72.05,-146.13,47.25,0.871052,0.000497564,1.558102,0.00019214599999999997,0.0586226,0.001557824
13,1565399058.166198,1565399062.16683,72.05,-106.13000000000001,47.25,0.737124,0.000124619,1.689346,6.107399999999999e-05,0.1970278,0.000223582
14,1565399068.8134298,1565399072.8135786,72.05,-66.13000000000001,47.25,0.678146,0.001264765,1.858146,0.000144672,0.29006,0.004166887
15,1565399077.4288406,1565399081.4302049,72.05,-46.129999999999995,47.25,0.649272,0.0007724769999999999,1.934102,0.000217302,0.317208,0.000253811
16,1565399108.9084573,1565399112.909991,72.05,-146.13,87.25,0.730718,0.00021087900000000003,1.312066,5.5946e-05,0.0849952,0.000237696
17,1565399118.1561587,1565399122.1562076,72.05,-106.13000000000001,87.25,0.670808,0.000737408,1.561282,0.00022873599999999997,0.272604,0.000325315
18,1565399126.851293,1565399130.8513436,72.05,-66.13000000000001,87.25,0.640182,0.00057225,1.785226,0.0003055,0.364542,0.001663451
19,1565399136.2724884,1565399140.2731328,72.05,-46.129999999999995,87.25,0.617712,0.001764474,1.880868,0.000468796,0.391292,0.000198922
20,1565399170.9291172,1565399174.928374,72.05,-146.13,127.25,0.558862,9.808200000000001e-05,1.055856,0.000121161,0.1573782,0.000293428
21,1565399178.352905,1565399182.3522758,72.05,-106.13000000000001,127.25,0.600622,0.00050007,1.44509,0.000132476,0.315854,0.00043397
22,1565399187.0965607,1565399191.0992243,72.05,-66.13000000000001,127.25,0.605996,0.001885107,1.726902,0.00021323700000000002,0.395692,0.003329538
23,1565399195.3292882,1565399199.3305197,72.05,-46.129999999999995,127.25,0.598152,0.001016204,1.841614,0.00048257599999999997,0.41967,0.000744245
24,1565399254.2732594,1565399258.2728899,72.05,-146.13,167.25,0.422414,0.000232873,0.880794,0.000124419,0.273658,0.000189394
25,1565399266.321032,1565399270.3230224,72.05,-106.13000000000001,167.25,0.529364,0.000381615,1.344962,0.00023847400000000002,0.393664,0.000522188
26,1565399281.4886956,1565399285.4883049,72.05,-66.13000000000001,167.25,0.571904,0.001914231,1.672668,0.000269944,0.460172,0.002013112
27,1565399291.6972601,1565399295.6969452,72.05,-46.129999999999995,167.25,0.581276,0.001549623,1.800514,0.000350186,0.480014,0.00038213900000000004
28,1565399353.1283994,1565399357.1300893,72.05,-146.13,207.25,0.28581,0.000415632,0.767038,0.000102811,0.373784,0.000325776
29,1565399371.9285958,1565399375.9292037,72.05,-106.13000000000001,207.25,0.454606,0.000272268,1.270794,0.00029754,0.436182,0.000748545
30,1565399382.2726266,1565399386.273813,72.05,-66.13000000000001,207.25,0.496246,0.0005904069999999999,1.630168,0.000135167,0.512094,0.000581962
31,1565399400.561122,1565399404.5611873,72.05,-46.129999999999995,207.25,0.513678,0.00036423900000000003,1.773282,0.00010802799999999999,0.537446,0.000101637
32,1565399463.4807687,1565399467.4818873,72.05,-146.13,247.25,0.204748,0.000145842,0.723686,0.000132401,0.445606,0.000254224
33,1565399472.0885115,1565399476.088629,72.05,-106.13000000000001,247.25,0.34292,0.000881618,1.206582,0.00014202100000000001,0.482314,0.000208638
34,1565399483.0483458,1565399487.0487058,72.05,-66.13000000000001,247.25,0.447304,0.010468915,1.561608,0.002764954,0.564476,0.001203466
35,1565399491.8414242,1565399495.8423562,72.05,-46.129999999999995,247.25,0.498862,0.001239988,1.712422,0.00016331,0.60494,0.001043791
36,1565399539.8493807,1565399543.8507404,72.05,-146.13,287.25,0.1093272,0.000255355,0.757772,6.3403e-05,0.32849,5.099e-05
37,1565399549.5446274,1565399553.545816,72.05,-106.13000000000001,287.25,0.277784,0.001844717,1.103602,0.00019097099999999998,0.39463,0.00070516
38,1565399560.1769962,1565399564.1776896,72.05,-66.13000000000001,287.25,0.446734,0.000492575,1.413332,0.00031681200000000003,0.58642,0.000586003
39,1565399571.4008093,1565399575.4011254,72.05,-46.129999999999995,287.25,0.555964,0.000994575,1.571758,0.00079153,0.670828,0.0026839190000000003
40,1565399628.833372,1565399632.8340914,72.05,-146.13,327.25,-0.1571464,0.000459019,0.709478,0.000314277,-0.257776,0.002497955
41,1565399639.936398,1565399643.9375322,72.05,-106.13000000000001,327.25,0.1527108,0.000266692,0.81308,0.000153786,0.1106756,0.00011561299999999999
42,1565399661.7926607,1565399665.7935982,72.05,-66.13000000000001,327.25,0.396268,0.00038245300000000005,1.010868,0.000532419,0.661616,0.000406854
43,1565399676.1043854,1565399680.1061664,72.05,-46.129999999999995,327.25,0.496942,0.000129306,1.158236,0.00055514,0.960148,0.000433036
44,1565399778.1048512,1565399782.1074905,32.05,-146.13,327.25,-0.958152,0.002305704,1.205404,0.00166941,0.296566,0.000416509
45,1565399785.9445639,1565399789.9447436,32.05,-106.13000000000001,327.25,-0.361456,0.000892709,1.29587,0.000125499,0.332684,0.00021594
46,1565399794.912631,1565399798.9142067,32.05,-66.13000000000001,327.25,0.202616,0.000462039,1.437352,0.000617956,0.581146,0.000556174
47,1565399806.2406447,1565399810.2410316,32.05,-46.129999999999995,327.25,0.445664,0.0006131309999999999,1.558772,0.0005233740000000001,0.732508,0.000284903
48,1565399853.80879,1565399857.8096101,32.05,-146.13,287.25,-0.602236,0.0005868819999999999,1.029082,0.000670574,0.549286,0.000288323
49,1565399865.769246,1565399869.769654,32.05,-106.13000000000001,287.25,-0.1798164,0.000288708,1.395152,0.00015706700000000002,0.524958,7.9812e-05
50,1565399876.3208866,1565399880.3206956,32.05,-66.13000000000001,287.25,0.1620448,0.002279197,1.641836,0.000180914,0.617116,0.000562165
51,1565399888.2166753,1565399892.2163098,32.05,-46.129999999999995,287.25,0.29961,0.001273126,1.767478,0.00025499,0.672912,0.000315071
52,1565399933.0084646,1565399937.008749,32.05,-146.13,247.25,-0.364674,0.000254814,0.973074,5.8992e-05,0.584444,9.813299999999999e-05
53,1565399940.9128847,1565399944.9141023,32.05,-106.13000000000001,247.25,-0.0248768,0.001155633,1.410408,0.000119457,0.591556,6.8775e-05
54,1565399950.4812071,1565399954.4805667,32.05,-66.13000000000001,247.25,0.22177,0.001325142,1.698688,0.00041697699999999996,0.621124,0.000613417
55,1565399960.793352,1565399964.7962663,32.05,-46.129999999999995,247.25,0.310688,0.002434106,1.819796,0.000201817,0.638392,0.000797728
56,1565400009.9848428,1565400013.9857306,32.05,-146.13,167.25,0.0435612,0.00028917099999999996,1.107038,6.6858e-05,0.452074,7.8613e-05
57,1565400018.6891537,1565400022.6884387,32.05,-106.13000000000001,167.25,0.237098,0.000154499,1.458192,8.5264e-05,0.510304,0.000146219
58,1565400028.8722234,1565400032.8725388,32.05,-66.13000000000001,167.25,0.356058,0.001257327,1.72977,0.000309919,0.530322,0.001486614
59,1565400038.8723822,1565400042.8740473,32.05,-46.129999999999995,167.25,0.39004,0.002110746,1.836476,0.00025026,0.529832,0.001519793
60,1565400067.3126483,1565400071.312359,32.05,-146.13,127.25,0.262598,0.001001009,1.190922,7.791e-05,0.359,0.000580646
61,1565400077.1769874,1565400081.1775246,32.05,-106.13000000000001,127.25,0.37478,0.0017217,1.505688,0.000358845,0.41889,0.00022034099999999998
62,1565400087.2253823,1565400091.2266796,32.05,-66.13000000000001,127.25,0.43599,0.0017255870000000002,1.750144,0.000274372,0.449772,0.0025036010000000003
63,1565400096.2006733,1565400100.2022672,32.05,-46.129999999999995,127.25,0.44761,0.001160776,1.846764,0.000105024,0.458658,0.001131225
64,1565400149.633066,1565400153.634993,32.05,-146.13,87.25,0.47183,0.00045149800000000005,1.256916,0.00011104100000000001,0.278084,0.00066778
65,1565400158.3533869,1565400162.3544014,32.05,-106.13000000000001,87.25,0.493962,0.000836523,1.562352,0.00013217399999999999,0.35343,0.000277939
66,1565400169.208679,1565400173.2102022,32.05,-66.13000000000001,87.25,0.505534,0.0008303789999999999,1.77753,0.00010723799999999999,0.40256,0.001036147
67,1565400179.8091779,1565400183.8087244,32.05,-46.129999999999995,87.25,0.504662,0.0006813739999999999,1.863216,8.792e-05,0.414444,0.000848605
68,1565400209.1532524,1565400213.1538844,32.05,-146.13,47.25,0.644666,0.000846304,1.340766,7.9875e-05,0.203092,0.0014184920000000001
69,1565400219.4410877,1565400223.4416966,32.05,-106.13000000000001,47.25,0.614024,0.000576958,1.63394,0.000152151,0.301642,0.00131591
70,1565400232.3922648,1565400236.3919373,32.05,-66.13000000000001,47.25,0.593366,0.006533535,1.810898,0.00023878900000000002,0.36155,0.011567461000000001
71,1565400242.4250286,1565400246.4257627,32.05,-46.129999999999995,47.25,0.574216,0.0007221010000000001,1.880164,9.555100000000001e-05,0.381274,0.0011801189999999999
72,1565400336.456338,1565400340.4563498,32.05,-146.13,-32.75,1.029186,0.00012739700000000001,1.671262,2.1679e-05,0.1424112,0.000432889
73,1565400344.5611076,1565400348.560743,32.05,-106.13000000000001,-32.75,0.910472,0.00052409,1.814466,0.00018716299999999998,0.263456,0.001143932
74,1565400356.152866,1565400360.153128,32.05,-66.13000000000001,-32.75,0.807712,0.00129739,1.902062,0.0005314790000000001,0.312838,0.001025656
75,1565400366.3604689,1565400370.3628275,32.05,-46.129999999999995,-32.75,0.755278,0.000488539,1.941494,0.00013049899999999999,0.32654,0.001582356
76,1565400435.5133133,1565400439.513943,32.05,-146.13,-72.75,1.42264,0.000214826,1.790306,5.8566e-05,0.33069,0.000693433
77,1565400445.3448923,1565400449.3453987,32.05,-106.13000000000001,-72.75,1.12435,0.00037841800000000005,1.865062,0.00022286799999999998,0.346972,0.000517175
78,1565400459.5928016,1565400463.5941324,32.05,-66.13000000000001,-72.75,0.946448,0.000691896,1.91993,0.000261534,0.357456,0.0010965760000000001
79,1565400469.4884975,1565400473.4883056,32.05,-46.129999999999995,-72.75,0.872022,0.00041583699999999996,1.947112,8.1056e-05,0.355794,0.000255108
80,1565400506.6569252,1565400510.660875,-7.95,-146.13,-72.75,0.929298,0.0008925080000000001,1.557884,0.000223002,0.728884,0.0009595989999999999
81,1565400516.0567517,1565400520.0579486,-7.95,-106.13000000000001,-72.75,0.88905,0.000604401,1.722384,0.00016622299999999998,0.571712,0.000463972
82,1565400526.649414,1565400530.6499097,-7.95,-66.13000000000001,-72.75,0.80974,0.001438211,1.799746,0.00037373800000000003,0.509056,0.000687117
83,1565400534.8892806,1565400538.890773,-7.95,-46.129999999999995,-72.75,0.761526,0.000793807,1.830978,0.00012853,0.48624,0.000861075
84,1565400599.0727968,1565400603.073559,-7.95,-146.13,-32.75,0.681572,0.000245499,1.68003,5.3852e-05,0.436884,9.3434e-05
85,1565400607.7606316,1565400611.7613242,-7.95,-106.13000000000001,-32.75,0.727472,0.00042669699999999997,1.75827,4.6368e-05,0.447196,0.000364801
86,1565400619.536302,1565400623.5370522,-7.95,-66.13000000000001,-32.75,0.693064,0.000712938,1.825112,7.5961e-05,0.446858,0.0008269639999999999
87,1565400629.432288,1565400633.4325264,-7.95,-46.129999999999995,-32.75,0.6609,0.000718401,1.856054,0.000152578,0.444182,0.000596548
88,1565400683.4726982,1565400687.4751346,-7.95,-146.13,7.25,0.513606,5.6391e-05,1.573942,2.6833000000000002e-05,0.276622,5.8481000000000005e-05
89,1565400693.480904,1565400697.482594,-7.95,-106.13000000000001,7.25,0.605198,0.001690834,1.713796,0.000501228,0.378532,0.000290895
90,1565400706.416512,1565400710.4165466,-7.95,-66.13000000000001,7.25,0.59814,0.002090574,1.816032,0.0008116460000000001,0.417802,0.00084479
91,1565400715.8965414,1565400719.897839,-7.95,-46.129999999999995,7.25,0.585304,0.000638694,1.856904,0.000179805,0.419008,0.0009759460000000001
92,1565400757.513185,1565400761.5133069,-7.95,-146.13,47.25,0.378686,0.000614394,1.419988,8.871299999999999e-05,0.333452,0.0007011210000000001
93,1565400767.041093,1565400771.0419438,-7.95,-106.13000000000001,47.25,0.480046,0.0007916,1.649286,0.000144153,0.418602,0.000276261
94,1565400779.672188,1565400783.6721878,-7.95,-66.13000000000001,47.25,0.50566,0.000899528,1.795944,8.4143e-05,0.449464,0.000810142
95,1565400789.1609263,1565400793.1628263,-7.95,-46.129999999999995,47.25,0.499468,0.000609237,1.856794,0.000182975,0.443216,0.000880841
96,1565400853.8404684,1565400857.8420994,-7.95,-146.13,87.25,0.21043,0.000441192,1.361002,0.00010232299999999999,0.459022,0.00028048200000000003
97,1565400864.4244206,1565400868.4249954,-7.95,-106.13000000000001,87.25,0.33665,0.000360486,1.62126,0.000166883,0.480468,6.723100000000001e-05
98,1565400875.8730536,1565400879.8723123,-7.95,-66.13000000000001,87.25,0.39635,0.002007772,1.796792,0.00024641400000000003,0.488366,0.002417215
99,1565400885.3211615,1565400889.3205843,-7.95,-46.129999999999995,87.25,0.451528,0.000360652,1.86065,0.000332791,0.467168,0.001310351
100,1565400930.8013155,1565400934.8021936,-7.95,-146.13,127.25,0.024585,0.000280539,1.366516,5.1284e-05,0.591544,9.044299999999999e-05
101,1565400942.968922,1565400946.9697006,-7.95,-106.13000000000001,127.25,0.203844,0.00035599199999999996,1.622342,0.000230261,0.572062,0.000381602
102,1565400953.6083212,1565400957.6087108,-7.95,-66.13000000000001,127.25,0.308904,0.0017592979999999999,1.807798,0.000115195,0.551504,0.001289333
103,1565400963.752397,1565400967.753806,-7.95,-46.129999999999995,127.25,0.3877,0.00227966,1.878278,0.00019383,0.516948,0.0013508220000000002
104,1565401026.5928922,1565401030.5934868,-7.95,-146.13,167.25,-0.236952,0.001079662,1.391366,0.000396333,0.70908,0.000419345
105,1565401035.9444146,1565401039.9445508,-7.95,-106.13000000000001,167.25,0.024195,0.0012713660000000001,1.648282,5.1671999999999996e-05,0.673988,0.000423639
106,1565401048.4962275,1565401052.4955404,-7.95,-66.13000000000001,167.25,0.243344,0.0030840359999999996,1.844512,0.000454445,0.609456,0.000893605
107,1565401058.720953,1565401062.7221055,-7.95,-46.129999999999995,167.25,0.268162,0.003145834,1.915998,0.000537094,0.597628,0.000451852
108,1565401085.968167,1565401089.9693615,-7.95,-146.13,207.25,-0.526366,0.00019590799999999998,1.425954,0.000116103,0.76553,0.000145086
109,1565401097.5052588,1565401101.5054836,-7.95,-106.13000000000001,207.25,-0.1483554,0.000946435,1.703776,0.000197939,0.71693,0.000193261
110,1565401108.6402652,1565401112.6409543,-7.95,-66.13000000000001,207.25,0.0954742,0.0025357279999999997,1.897654,0.00020899799999999998,0.663406,0.0009516980000000001
111,1565401117.9365852,1565401121.9373596,-7.95,-46.129999999999995,207.25,0.1651274,0.00015718200000000001,1.980178,0.00019904799999999998,0.641386,0.00061358
112,1565401183.4012039,1565401187.4006217,-7.95,-146.13,247.25,-0.77721,0.000851616,1.522638,0.000181576,0.814326,0.0011339
113,1565401191.8730812,1565401195.8723507,-7.95,-106.13000000000001,247.25,-0.315784,0.000152086,1.761164,6.0249e-05,0.744064,6.3087e-05
114,1565401201.5534983,1565401205.5549235,-7.95,-66.13000000000001,247.25,0.0267186,0.003016463,1.93459,0.00038026300000000004,0.688602,0.0005795430000000001
115,1565401213.2409682,1565401217.242338,-7.95,-46.129999999999995,247.25,0.1441424,0.000977086,2.00724,0.000336155,0.6709,0.00076397
116,1565401241.2165134,1565401245.2175474,-7.95,-146.13,287.25,-1.089634,0.000394563,1.64794,0.00021142400000000001,0.813476,0.00012973
117,1565401252.4490414,1565401256.4522407,-7.95,-106.13000000000001,287.25,-0.409596,0.000285885,1.865792,0.000119038,0.664114,0.000214779
118,1565401264.6891596,1565401268.6892378,-7.95,-66.13000000000001,287.25,-0.0146264,0.001522561,1.960968,0.0001747,0.650058,0.000280838
119,1565401276.6249866,1565401280.6246607,-7.95,-46.129999999999995,287.25,0.210952,0.000571025,2.02984,0.000260768,0.623784,0.0006293890000000001
120,1565401305.9925478,1565401309.9938445,-7.95,-146.13,327.25,-1.403952,0.001896436,1.88986,0.000194936,0.63696,0.004839933
121,1565401315.6007833,1565401319.6021252,-7.95,-106.13000000000001,327.25,-0.666714,0.004693371,1.9226,0.001012423,0.508162,0.003068097
122,1565401327.3371015,1565401331.3377159,-7.95,-66.13000000000001,327.25,-0.0705622,0.0005349290000000001,1.9575,0.000244949,0.5286,0.000344311
123,1565401337.600605,1565401341.6012893,-7.95,-46.129999999999995,327.25,0.16417,0.001351502,2.01172,0.001061603,0.565406,0.000779827
124,1565401433.136716,1565401437.1376166,-47.95,-146.13,327.25,-1.594858,0.000490989,2.82924,0.00016733200000000002,0.89058,0.000347994
