cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
0,1565393003.9618595,1565393007.961532,-87.95,-146.13,-192.75,0.501304,0.000270703,1.221652,4.9193e-05,1.236878,0.000113446
1,1565393014.3208313,1565393018.3219523,-87.95,-106.13000000000001,-192.75,0.594004,6.269e-05,1.255494,4.9295e-05,1.038404,9.316700000000001e-05
2,1565393024.3124127,1565393028.3123128,-87.95,-66.13000000000001,-192.75,0.573888,0.000803598,1.340306,9.289799999999999e-05,0.901972,0.000605368
3,1565393034.4084635,1565393038.4084024,-87.95,-26.129999999999995,-192.75,0.507106,0.000605211,1.428224,0.000201321,0.795206,0.00018036099999999998
4,1565393043.543241,1565393047.5431058,-87.95,13.870000000000005,-192.75,0.430332,0.000765029,1.505426,6.269e-05,0.70513,0.000597997
5,1565393081.5365882,1565393085.5400753,-47.95,-146.13,-192.75,0.77656,0.000260288,0.865172,0.00021637900000000002,1.172044,0.000153232
6,1565393090.237984,1565393094.2380335,-47.95,-106.13000000000001,-192.75,0.884856,0.0006834689999999999,1.223178,0.000326374,1.046356,0.000859901
7,1565393098.8379092,1565393102.8374202,-47.95,-66.13000000000001,-192.75,0.841724,0.001184749,1.399624,0.000263211,0.914498,0.000896309
8,1565393107.4281452,1565393111.4276998,-47.95,-26.129999999999995,-192.75,0.753956,0.000197307,1.517398,9.203299999999999e-05,0.798492,0.00016269600000000002
9,1565393115.9724972,1565393119.973707,-47.95,13.870000000000005,-192.75,0.662516,0.0014231060000000002,1.608406,0.000324469,0.697552,0.000513683
10,1565393154.482919,1565393158.482282,-7.95,-146.13,-192.75,1.588002,0.000127161,0.876048,0.000122147,1.037652,0.00021276700000000002
11,1565393164.5053756,1565393168.5072684,-7.95,-106.13000000000001,-192.75,1.292128,5.4037e-05,1.328058,0.000223987,0.996644,0.000350471
12,1565393172.7935796,1565393176.7943492,-7.95,-66.13000000000001,-192.75,1.124804,0.00026168700000000003,1.510286,9.0995e-05,0.874388,0.000257235
13,1565393182.3615456,1565393186.3615546,-7.95,-26.129999999999995,-192.75,0.995142,0.002969507,1.627142,0.0015382520000000002,0.751354,0.000422114
14,1565393192.02592,1565393196.0276473,-7.95,13.870000000000005,-192.75,0.879776,0.001380554,1.729678,0.000303924,0.639582,0.000883216
15,1565393252.6494026,1565393256.6532688,32.05,-146.13,-192.75,2.21502,0.000978264,1.579282,0.000592258,1.014322,0.0015172739999999999
16,1565393261.0967937,1565393265.0979939,32.05,-106.13000000000001,-192.75,1.65367,0.001587325,1.62792,0.00075316,0.92978,0.001470476
17,1565393270.4733105,1565393274.4758964,32.05,-66.13000000000001,-192.75,1.40803,0.00282125,1.676452,0.000323063,0.78692,0.004930025
18,1565393282.057049,1565393286.05629,32.05,-26.129999999999995,-192.75,1.216422,0.00173236,1.795096,0.000907899,0.547726,0.0011087739999999999
19,1565393291.0413795,1565393295.0417945,32.05,13.870000000000005,-192.75,1.16326,0.0009703089999999999,1.85373,0.00036276699999999995,0.47325,0.001118928
20,1565393317.6892223,1565393321.6890311,72.05,-146.13,-192.75,2.3855,0.0004,2.39258,0.000109545,1.261846,0.000715668
21,1565393331.4574351,1565393335.4573302,72.05,-106.13000000000001,-192.75,1.92184,0.00024083200000000001,1.96508,0.000303315,0.895694,0.000477734
22,1565393341.0173779,1565393345.018054,72.05,-66.13000000000001,-192.75,1.721822,0.000834188,1.84138,0.001588081,0.646174,0.01207223
23,1565393350.4015956,1565393354.4048543,72.05,-26.129999999999995,-192.75,1.588574,0.001470265,1.8683,0.0007874010000000001,0.387632,0.001487404
24,1565393359.4970875,1565393363.496776,72.05,13.870000000000005,-192.75,1.448248,0.000910368,1.98782,0.00051672,0.0947242,0.0011473339999999999
25,1565393404.5613756,1565393408.563136,112.05,-146.13,-192.75,2.2189,0.001204159,3.05314,0.000581378,1.113292,0.001241801
26,1565393413.4416442,1565393417.4416132,112.05,-106.13000000000001,-192.75,2.13068,0.000476445,2.18076,0.00032093599999999996,0.627066,0.00069042
27,1565393424.6892421,1565393428.6885862,112.05,-66.13000000000001,-192.75,2.0324,0.000724569,1.97848,0.00040865599999999997,0.382526,0.000351895
28,1565393434.9534495,1565393438.954696,112.05,-26.129999999999995,-192.75,1.8742,0.000913783,2.0824,0.0001,0.1759496,0.00030398400000000004
29,1565393443.697735,1565393447.6973462,112.05,13.870000000000005,-192.75,1.339294,0.0021332670000000003,2.38584,0.0028032120000000002,-0.1545842,0.001227969
30,1565393504.5137644,1565393508.5138445,112.05,-146.13,-152.75,1.86042,0.0006418719999999999,3.51506,0.00095289,0.456382,0.004735285
31,1565393513.721733,1565393517.7216508,112.05,-106.13000000000001,-152.75,1.666028,0.00049555,2.43074,0.00040373300000000003,0.1692876,0.000491995
32,1565393526.4656863,1565393530.4663706,112.05,-66.13000000000001,-152.75,1.61717,0.0012555280000000001,2.14018,0.0009391489999999999,-0.0146552,0.00218898
