cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w
39,1565395516,1565395520,112.05,13.870000000000005,207.25,0.6401060000000001,0.0012382369999999999,2.17408,0.000286356,0.584742,0.001035505
40,1565395629,1565395633,112.05,-146.13,247.25,0.80397,0.000251197,0.694116,3.2094e-05,0.39701,0.00045238300000000005
41,1565395639,1565395643,112.05,-106.13000000000001,247.25,0.7642760000000001,0.000834074,1.160788,0.000434304,0.442492,0.000136088
42,1565395649,1565395653,112.05,-66.13000000000001,247.25,0.736082,0.0029961090000000003,1.52852,0.000156844,0.5494979999999999,0.0038068390000000002
43,1565395661,1565395665,112.05,-26.129999999999995,247.25,0.696548,0.000378774,1.860456,0.00019099700000000001,0.64979,0.00039579
44,1565395670,1565395674,112.05,13.870000000000005,247.25,0.65191,0.006889452,2.16858,0.0010709810000000001,0.6872199999999999,0.0027429909999999997
45,1565395729,1565395733,112.05,-146.13,287.25,0.759566,0.000548206,0.709192,0.00020030000000000002,0.25606599999999996,0.0016914579999999999
46,1565395741,1565395745,112.05,-106.13000000000001,287.25,0.746788,7.6942e-05,1.03044,6.9642e-05,0.3635,0.000155563
47,1565395750,1565395754,112.05,-66.13000000000001,287.25,0.713666,0.000457034,1.357218,0.00037184699999999997,0.5767,0.00026096
48,1565395760,1565395764,112.05,-26.129999999999995,287.25,0.6754180000000001,0.003610965,1.7254099999999999,0.000729383,0.797858,0.001674207
49,1565395775,1565395779,112.05,13.870000000000005,287.25,0.648252,0.001217998,2.15878,0.00019235400000000002,0.90238,0.001179788
50,1565395822,1565395826,112.05,-146.13,327.25,0.832966,0.000312938,0.575396,0.000175585,-0.277362,0.000298613
51,1565395833,1565395837,112.05,-106.13000000000001,327.25,0.771526,0.000406239,0.728016,0.000177989,0.10486240000000001,7.903e-05
52,1565395849,1565395853,112.05,-66.13000000000001,327.25,0.6601199999999999,0.000363799,0.9894799999999999,0.000257002,0.5614939999999999,0.000123612
53,1565395860,1565395864,112.05,-26.129999999999995,327.25,0.5161720000000001,0.000466765,1.369808,0.000453894,1.094372,0.00041637699999999995
54,1565395880,1565395884,112.05,13.870000000000005,327.25,0.44861599999999996,0.002174633,2.2108,0.0003937,1.450084,0.0023890020000000003
55,1565395952,1565395956,152.05,-146.13,327.25,1.5222280000000001,0.000142373,0.675982,0.000299032,0.07554960000000001,0.001487955
56,1565395963,1565395967,152.05,-106.13000000000001,327.25,1.403842,0.0016465479999999998,0.928406,0.000668192,0.245234,0.0038697329999999998
57,1565395980,1565395984,152.05,-66.13000000000001,327.25,1.100154,0.00042846199999999995,1.2341280000000001,0.00012969200000000002,0.471164,0.000245112
58,1565395991,1565395995,152.05,-26.129999999999995,327.25,0.852642,0.000241909,1.586614,5.9833e-05,0.753768,0.00023145200000000002
59,1565396002,1565396006,152.05,13.870000000000005,327.25,0.7227020000000001,0.006351403,2.13082,0.0019357170000000002,0.9592139999999999,0.002086559
61,1565396083,1565396087,152.05,-146.13,287.25,1.343788,0.000142548,0.69993,7.0356e-05,0.32752600000000004,0.000128763
62,1565396094,1565396098,152.05,-106.13000000000001,287.25,1.299654,0.000810728,1.1008040000000001,0.00033686800000000004,0.43265,0.00019659599999999997
63,1565396108,1565396112,152.05,-66.13000000000001,287.25,1.1105459999999998,0.001402883,1.459184,0.000418784,0.592476,0.001680545
64,1565396120,1565396124,152.05,-26.129999999999995,287.25,0.963276,0.000749953,1.80015,0.001009926,0.758368,0.0011290130000000001
65,1565396131,1565396135,152.05,13.870000000000005,287.25,0.8716020000000001,0.00040990199999999997,2.19106,0.000151658,0.85613,0.000328557
66,1565396189,1565396193,152.05,-146.13,247.25,1.295562,6.3797e-05,0.761306,4.1593e-05,0.37448400000000004,0.00019932400000000002
67,1565396199,1565396203,152.05,-106.13000000000001,247.25,1.1884940000000002,0.00010597200000000001,1.222874,0.000509686,0.47755200000000003,0.001325262
68,1565396209,1565396213,152.05,-66.13000000000001,247.25,1.062178,0.000523326,1.590466,0.000149265,0.583462,0.0006313240000000001
69,1565396222,1565396226,152.05,-26.129999999999995,247.25,0.94784,0.000657571,1.9152740000000001,0.000337016,0.679236,0.001179483
70,1565396231,1565396235,152.05,13.870000000000005,247.25,0.852462,0.0022464679999999997,2.2276,0.000187083,0.735036,0.0019312770000000001
71,1565396297,1565396301,152.05,-146.13,207.25,1.35515,0.000168077,0.85824,7.5166e-05,0.250644,0.001172382
72,1565396307,1565396311,152.05,-106.13000000000001,207.25,1.16323,0.002023919,1.341932,0.000923293,0.395854,0.002369268
73,1565396316,1565396320,152.05,-66.13000000000001,207.25,1.036248,0.0021606060000000002,1.692106,0.001132157,0.504042,0.00026099799999999997
74,1565396327,1565396331,152.05,-26.129999999999995,207.25,0.918406,0.002082974,1.992594,0.00069432,0.583462,0.000214406
75,1565396338,1565396342,152.05,13.870000000000005,207.25,0.813934,0.000457635,2.2571,0.000158114,0.613834,0.0008809260000000001
